From,Whitelist,Amount
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x8F3eF769968AA15835AfCA917953074C5470EC71,50
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x8c0295541791C392F11DfDB5116f5cc83Dc87a69,10
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x9ba615066075E81A2c6957EE7Fd46190a07C9577,10
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x7a1F91790f0a35e6454e2CE831A6094f1133568f,10
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xf36fB674f9e9cB415Dde06255C8CBdE71474AC09,10
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x31D4415aFe8CBbefe782637564c7F32d71bA9Fc8,10
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x53394f67F6171dAc3810D4A0185270949745051F,10
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xd7A2468485B77e6955eb16f6BabC4E7408D6c7A0,10
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x00847CA11E992C2641c31DC068E8e4aEA95D4D10,10
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x80C5FC44f7C28Cd19D928E4D4E261Af797d8f73d,10
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xb518A02d75496952A532e1B91018acf40ea93144,10
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x7511B8BC067e4e0C54E101A20725F85C7cd9EE27,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x81201c475F7C12BF69B1799c2C2939a705Ef8beC,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xe9c4bFa73C2683e486BbB3e1F0Fc95228e88C841,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x43833ADB90Eac05fBbAAD220f2e80fc8fDF8336d,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x459FEDc52583C4472e0bF8215DbFc8ad11a77d35,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xA57CFc922dC31EB48Cb42BE83fb184f618E6e38A,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x16EeD65E63AD7E0c5eDfc46A50E8537374c21404,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x8B236D146df36d58007a4Ed72496E1D849458329,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xe635B256fE09aFE56F6967eda5FA52028DF8CC49,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x6AEA2C6814DCDA1334D7609028391BAC6105DF0e,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x031b02E516186D48c9f9b076a63d4D3FffC5686F,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x8B802E288f307a8baf27E54b764aE262CBCB67ee,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x81eBC9988B7DD11c295A8dbC4157117203277BEa,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x260083A0F8B54933581daDd4d27025DDc7d7DF79,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x4CbC23D67D09534770488635c39c777de8632CE8,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x93B8b051e11d73EB031976eEe111d4b908368303,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x0cD4ab1639f8FEf2147D4b405080301a461d9969,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xe32D5d2D37c93b1EE70B0C34ed251730C20f60ad,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xA9ae2b7AaC69Dba3BE38C7878782bB7F57836878,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x4ad3b956441D9EEb2D5d0945A5aA672892bD6300,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x45DDdf92773D1A7dfcdb8111eb593302Ba124c6a,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xB802143A5E823594bd58D581175CfE55668950F2,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xb793585Bf90109CD506Ac877d08588FFe5Eebc35,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0x8Ea02612fCD2eee6382682afF30DEE899531917F,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xDb59c16d667b2e856b5f5e390d8047D470BBE05B,20
0x8F3EF769968AA15835AFCA917953074C5470EC71,0xf8DbeE1292405a8563fB785c2D6F908FC73c76AE,10
